title,Javier ratings
"Claymation Christmas Celebration, A (1987)",
Clean Slate (1994),
Cleanskin (2012),
Clear and Present Danger (1994),
Clerks (1994),
Clerks II (2006),
Click (2006),
"Client, The (1994)",
Cliffhanger (1993),
Cloak & Dagger (1984),
Clockers (1995),
Clockstoppers (2002),
Clockwatchers (1997),
Clockwise (1986),
"Clockwork Orange, A (1971)",
"Clonus Horror, The (1979)",
Close Encounters of the Third Kind (1977),
Close Range (2015),
Closely Watched Trains (Ostre sledované vlaky) (1966),
Closer (2004),
"Closer You Get, The (2000)",
Closer to the Moon (2013),
"Closet, The (Placard, Le) (2001)",
Cloud Atlas (2012),
Cloudburst (2011),
Cloudy with a Chance of Meatballs (2009),
Cloudy with a Chance of Meatballs 2 (2013),
Cloverfield (2008),
Clown (2014),
Club Dread (2004),
Club Paradise (1986),
Clue (1985),
Clueless (1995),
Coach Carter (2005),
Coal Miner's Daughter (1980),
Cobb (1994),
Cobra (1986),
Cocaine Cowboys (2006),
Cocktail (1988),
Coco (2017),4
Coco Before Chanel (Coco avant Chanel) (2009),
"Cocoanuts, The (1929)",
Cocoon (1985),
Cocoon: The Return (1988),
Code 46 (2003),
Codependent Lesbian Space Alien Seeks Same (2011),
Coffee Town (2013),
Coffee and Cigarettes (2003),
Coffy (1973),
Coherence (2013),
Cold Comes the Night (2013),
Cold Comfort Farm (1995),
Cold Creek Manor (2003),
Cold Fever (Á köldum klaka) (1995),
Cold Fish (Tsumetai nettaigyo) (2010),
Cold Mountain (2003),
Cold in July (2014),
Collateral (2004),
Collateral Damage (2002),
"Collector, The (1965)",
"Collector, The (2009)",
"Collector, The (La collectionneuse) (1967)",
College (1927),
College Road Trip (2008),
Collision Course (1989),
Colombiana (2011),
"Colonel Chabert, Le (1994)",
Colonia (2016),
"Color Purple, The (1985)",
"Color of Money, The (1986)",
Color of Night (1994),
Colors (1988),
Colourful (Karafuru) (2010),
Coma (1978),
Comandante (2003),
"Come Back, Little Sheba (1952)",
Come See the Paradise (1990),
Come and See (Idi i smotri) (1985),
"Comebacks, The (2007)",
Comedian (2002),
Comedy Central Roast of David Hasselhoff (2010),
Comedy Central Roast of James Franco (2013),
Comedy of the Strict Regime (1993),
Comic Book Villains (2002),
Comic Book: The Movie (2004),
Comic-Con Episode IV: A Fan's Hope (2011),
Coming Home (1978),
Coming to America (1988),4
Commando (1985),
Comme un chef (2012),
"Commitments, The (1991)",
"Common Thread, A (a.k.a. Sequins) (Brodeuses) (2004)",
Communion (1989),
Company Man (2000),
"Company Men, The (2010)",
"Company of Wolves, The (1984)",
"Company, The (2003)",
"Competition, The (1980)",
"Computer Wore Tennis Shoes, The (1969)",
Con Air (1997),
Conan the Barbarian (1982),
Conan the Barbarian (2011),
Conan the Destroyer (1984),
Conception (2011),
"Concert, Le (2009)",
Concussion (2015),
Condorman (1981),
Coneheads (1993),
Confessions (Kokuhaku) (2010),
Confessions of a Dangerous Mind (2002),
Confessions of a Shopaholic (2009),
Confessions of a Teenage Drama Queen (2004),
Confidence (2003),
Confidential Report (1955),
"Conformist, The (Conformista, Il) (1970)",
Congo (1995),
"Conjuring, The (2013)",
Connections (1978),
Conquest of the Planet of the Apes (1972),
Conspiracy Theory (1997),
"Constant Gardener, The (2005)",
Constantine (2005),
Contact (1997),
Contact High (2009),
Contagion (2011),
"Contempt (Mépris, Le) (1963)",
"Contender, The (2000)",
Continental Divide (1981),
Contraband (2012),
Control (2007),
Control (Kontroll) (2003),
Control Room (2004),
"Conversation, The (1974)",
Conversations with Other Women (2005),
"Cook the Thief His Wife & Her Lover, The (1989)",
Cookie's Fortune (1999),
Cool Hand Luke (1967),
Cool Runnings (1993),
Cool World (1992),
"Cool, Dry Place, A (1998)",
"Cooler, The (2003)",
Cooties (2015),
Cop (1988),
Cop Car (2015),
Cop Land (1997),
Cop Out (2010),
Cop and ½ (1993),
Copenhagen (2014),
Cops and Robbersons (1994),
Copycat (1995),
Coraline (2009),
"Corbeau, Le (Raven, The) (1943)",
"Core, The (2003)",
Coriolanus (2011),
Corky Romano (2001),
Corner Gas: The Movie (2014),
Cornered! (2009),
"Corporation, The (2003)",
Corpse Bride (2005),
"Corrina, Corrina (1994)",
"Corruptor, The (1999)",
Cosmic Scrat-tastrophe (2015),
Cosmos,
"Cottage, The (2008)",
"Cotton Club, The (1984)",
"Couch Trip, The (1988)",
"Counselor, The (2013)",
"Counterfeiters, The (Die Fälscher) (2007)",
"Country Girl, The (1954)",
Couples Retreat (2009),
Courage Under Fire (1996),
Courier (1987),
"Court Jester, The (1956)",
Cousins (1989),
"Cove, The (2009)",
"Covenant, The (2006)",
Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001),
"Cowboy Way, The (1994)",
Cowboys & Aliens (2011),
Coyote Ugly (2000),
Cradle 2 the Grave (2003),
Cradle Will Rock (1999),
"Craft, The (1996)",
Craig Ferguson: I'm Here To Help (2013),
Craig Ferguson: Tickle Fight (2017),
"Cranes Are Flying, The (Letyat zhuravli) (1957)",
Crank (2006),
Crank: High Voltage (2009),
Crash (1996),
Crash (2004),
"Crazies, The (2010)",
"Crazies, The (a.k.a. Code Name: Trixie) (1973)",
Crazy Heart (2009),
Crazy in Alabama (1999),
"Crazy, Stupid, Love. (2011)",
Crazy/Beautiful (2001),
Creature Comforts (1989),
"Creature from the Black Lagoon, The (1954)",
Creed (2015),
Creep (2004),
Creep (2014),
Creep 2 (2017),
Creepshow (1982),
Creepshow 2 (1987),
"Crew, The (2000)",
Cries and Whispers (Viskningar och rop) (1972),
Crime Busters (1977),
Crime Story (Zhong an zu) (1993),
Crime and Punishment in Suburbia (2000),
"Crime of Father Amaro, The (Crimen del padre Amaro, El) (2002)",
Crimes and Misdemeanors (1989),
Crimes of the Heart (1986),
Crimewave (1985),
Crimson Gold (Talaye sorgh) (2003),
Crimson Peak (2015),
"Crimson Pirate, The (1952)",
"Crimson Rivers 2: Angels of the Apocalypse (Rivières pourpres II - Les anges de l'apocalypse, Les) (2004)",
"Crimson Rivers, The (Rivières pourpres, Les) (2000)",
Crimson Tide (1995),
Crippled Avengers (Can que) (Return of the 5 Deadly Venoms) (1981),
Critical Care (1997),
Critters (1986),
Crocodile Dundee (1986),4.5
Crocodile Dundee II (1988),4
Crocodile Dundee in Los Angeles (2001),
"Crocodile Hunter: Collision Course, The (2002)",
"Croods, The (2013)",
Crooklyn (1994),
Crossfire (1947),
Crossing Delancey (1988),
"Crossing Guard, The (1995)",
Crossing Over (2009),
Crossroads (1986),
Crossroads (2002),
"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",
Croupier (1998),
"Crow, The (1994)",
"Crow, The: Wicked Prayer (2005)",
"Crow: City of Angels, The (1996)",
"Crow: Salvation, The (2000)",
Crows Zero (Kurôzu zero) (2007),
"Crucible, The (1996)",
Cruel Intentions (1999),
"Cruel Romance, A (Zhestokij Romans) (1984)",
"Cruise, The (1998)",
Crumb (1994),
Crush (2001),
"Crush, The (1993)",
"Cry in the Dark, A (1988)",
"Cry, the Beloved Country (1995)",
Cry-Baby (1990),
Cry_Wolf (a.k.a. Cry Wolf) (2005),
"Crying Game, The (1992)",
Crystal Fairy & the Magical Cactus and 2012 (2013),
Cube (1997),1
Cube 2: Hypercube (2002),0.5
Cube Zero (2004),
"Cuckoo, The (Kukushka) (2002)",
Cujo (1983),
"Culture High, The (2014)",
"Cup, The (Phörpa) (1999)",
Cure (1997),
"Cure, The (1995)",
"Curious Case of Benjamin Button, The (2008)",
Curious George (2006),
Curly Sue (1991),
"Curse of Frankenstein, The (1957)",
Curse of the Golden Flower (Man cheng jin dai huang jin jia) (2006),
"Curse of the Jade Scorpion, The (2001)",
Cursed (2005),
Cutter's Way (1981),
Cutthroat Island (1995),
"Cutting Edge, The (1992)",
Cyborg (1989),
Cyrano de Bergerac (1990),
Cyrus (2010),
D.A.R.Y.L. (1985),
D.E.B.S. (2004),
D.O.A. (1950),
D.O.A. (1988),
D2: The Mighty Ducks (1994),4
D3: The Mighty Ducks (1996),
DC Super Hero Girls: Hero of the Year (2016),
DOA: Dead or Alive (2006),
Da Sweet Blood of Jesus (2014),
"Da Vinci Code, The (2006)",
Da geht noch was! (2013),
Dad (1989),
Dad's Army (1971),
Dad's Army (2016),
Daddy Day Camp (2007),
Daddy Day Care (2003),
Daddy Long Legs (1919),
Daddy's Home (2015),
Daddy's Home 2 (2017),
"Daddy, I'm A Zombie (2012)",5
Daffy Duck's Quackbusters (1988),
Dallas Buyers Club (2013),
"Dam Busters, The (1955)",
Damage (Fatale) (1992),
Damien: Omen II (1978),
Damn Yankees! (1958),
"Damned United, The (2009)",
"Damned, The (La Caduta degli dei) (1969)",
Dampfnudelblues (2013),
Damsels in Distress (2011),
Dan in Real Life (2007),
"Dana Carvey: Straight White Male, 60 (2016)",
"Dance of Reality, The (Danza de la realidad, La) (2013)",
Dance of the Dead (2008),
Dancemaker (1998),
"Dancer Upstairs, The (2002)",
Dancer in the Dark (2000),
"Dancer, Texas Pop. 81 (1998)",
Dances with Wolves (1990),
Dane Cook: Troublemaker (2014),
Dangerous Beauty (1998),
Dangerous Ground (1997),
Dangerous Liaisons (1988),
"Dangerous Lives of Altar Boys, The (2002)",
"Dangerous Method, A (2011)",
Dangerous Minds (1995),
Danny Collins (2015),
Danny Deckchair (2003),
Dante's Inferno: An Animated Epic (2010),
Dante's Peak (1997),
Darby O'Gill and the Little People (1959),
Daredevil (2003),
Daria: Is It College Yet? (2002),
Daria: Is It Fall Yet? (2000),
"Darjeeling Limited, The (2007)",
Dark Blue (2003),
Dark Blue World (Tmavomodrý svet) (2001),
Dark City (1998),
"Dark Crystal, The (1982)",
Dark Days (2000),
"Dark Half, The (1993)",
"Dark Knight Rises, The (2012)",
"Dark Knight, The (2008)",
Dark Passage (1947),
Dark Places (2015),
Dark Portals: The Chronicles of Vidocq  (Vidocq) (2001),
Dark Shadows (2012),
Dark Skies (2013),
Dark Star (1974),
Dark Tide (2012),
Dark Victory (1939),
Dark Water (2005),
Dark Water (Honogurai mizu no soko kara) (2002),
Darkest Hour (2017),
"Darkest Hour, The (2011)",
Darkman (1990),
"Darkman II: Return of Durant, The (1995)",
Darkness (2002),
Darkness Falls (2003),
Darkon (2006),
Darwin's Nightmare (2004),
"Das Experiment (Experiment, The) (2001)",
Date Movie (2006),
Date Night (2010),
Date and Switch (2014),
Date with an Angel (1987),
Daughters of the Dust (1991),
Dave (1993),
Dave Chappelle: Deep in the Heart of Texas (2017),
Dave Chappelle: Equanimity (2017),
Dave Chappelle: For What it's Worth (2004),
Dave Chappelle: Killin' Them Softly (2000),
Dave Chappelle: The Age of Spin (2017),
Dave Chappelle: The Bird Revelation (2017),
David Cross: Making America Great Again (2016),
"Davy Crockett, King of the Wild Frontier (1955)",
Dawn of the Dead (1978),
Dawn of the Dead (2004),
Dawn of the Planet of the Apes (2014),
Day & Night (2010),
"Day After Tomorrow, The (2004)",
"Day After, The (1983)",
Day Watch (Dnevnoy dozor) (2006),
"Day at the Races, A (1937)",
Day for Night (La Nuit Américaine) (1973),
Day of Wrath (Vredens dag) (1943),
"Day of the Beast, The (Día de la Bestia, El) (1995)",
Day of the Dead (1985),
"Day of the Doctor, The (2013)",
"Day of the Jackal, The (1973)",
"Day of the Locust, The (1975)",
"Day the Earth Stood Still, The (1951)",
"Day the Earth Stood Still, The (2008)",
Daybreakers (2010),
Daylight (1996),
Days of Being Wild (A Fei jingjyuhn) (1990),
Days of Heaven (1978),
Days of Thunder (1990),
Days of Wine and Roses (1962),
"Daytrippers, The (1996)",
Dazed and Confused (1993),
De platte jungle (1978),
De-Lovely (2004),
Dead Again (1991),
Dead Alive (Braindead) (1992),
Dead Calm (1989),
Dead End (2003),
Dead Fury (2008),
"Dead Hate the Living!, The (2000)",
Dead Heat (1988),
Dead Like Me: Life After Death (2009),
Dead Man (1995),
Dead Man Walking (1995),
Dead Man on Campus (1998),
Dead Man's Shoes (2004),
Dead Meat (2004),
Dead Men Don't Wear Plaid (1982),
Dead Poets Society (1989),
"Dead Pool, The (1988)",
Dead Presidents (1995),
Dead Ringers (1988),
Dead Silence (2007),
Dead Snow (Død snø) (2009),
Dead Snow 2: Red vs. Dead (2014) ,
"Dead Zone, The (1983)",
Dead of Night (1945),
Dead or Alive 2: Tôbôsha (2000),
Dead or Alive: Final (2002),
Dead or Alive: Hanzaisha (1999),
DeadHeads (2011),
Deadfall (2012),
Deadly Friend (1986),
Deadly Outlaw: Rekka (a.k.a. Violent Fire) (Jitsuroku Andô Noboru kyôdô-den: Rekka) (2002),
Deadpool (2016),
Deadpool 2 (2018),
Deadtime Stories (1987),
"Deal, The (2008)",
Dear Diary (Caro Diario) (1994),
Dear Frankie (2004),
Dear God (1996),
Dear John (2010),
Dear Wendy (2005),
Dear Zachary: A Letter to a Son About His Father (2008),
Death Becomes Her (1992),
Death Note (2017),
Death Note Rewrite: Genshisuru Kami (2007),
Death Note: Desu nôto (2006–2007),
Death Proof (2007),
Death Race (2008),
Death Race 2 (2010),
Death Race 2000 (1975),
Death Sentence (2007),
Death Smiles on a Murderer (1973),
Death Wish (1974),
Death Wish (2018),
Death Wish 2 (1982),
Death Wish 3 (1985),
Death Wish 4: The Crackdown (1987),
Death Wish 5: The Face of Death (1994),
Death and the Maiden (1994),
Death at a Funeral (2007),
Death at a Funeral (2010),
Death in Venice (Morte a Venezia) (1971),
Death of a Cyclist (Muerte de un ciclista) (1955),
Death of a President (2006),
Death of a Salesman (1985),
Death on the Nile (1978),
Death to Smoochy (2002),
Deathgasm (2015),
"Deaths of Ian Stone, The (2007)",
Deathtrap (1982),
"Debt, The (2011)",
"Decade Under the Influence, A (2003)",
"Decalogue, The (Dekalog) (1989)",
Deceiver (1997),
December Boys (2007),
"Decline of Western Civilization Part II: The Metal Years, The (1988)",
"Decline of Western Civilization, The (1981)",
"Decline of the American Empire, The (Déclin de l'empire américain, Le) (1986)",
Deconstructing Harry (1997),
"Decoy Bride, The (2011)",
Dedication (2007),
Deep Blue Sea (1999),
"Deep End of the Ocean, The (1999)",
"Deep End, The (2001)",
Deep Impact (1998),
Deep Red (Profondo rosso) (1975),
Deep Rising (1998),1
Deepwater Horizon (2016),
"Deer Hunter, The (1978)",
Defending Your Life (1991),
Defiance (2008),
"Defiant Ones, The (1958)",
"Definitely, Maybe (2008)",
Delhi Belly (2011),
Delicatessen (1991),
Delirious (1991),
Delirium (2014),
Deliver Us from Evil (2006),
Deliver Us from Evil (2014),
Deliverance (1972),
Delivery Man (2013),
Delta Force 2 (Delta Force 2: The Colombian Connection) (1990),
"Delta Force, The (1986)",
Delta of Venus (1995),
Demolition (2016),
Demolition Man (1993),
"Den, The (2013)",
Denis Leary: No Cure for Cancer (1993),
Denise Calls Up (1995),
Dennis the Menace (1993),4.5
"Dennis the Menace Christmas, A (2007)",
"Dentist, The (1996)",
"Departed, The (2006)",
Departures (Okuribito) (2008),
Der Herr Karl (1961),
Derailed (2002),
Derailed (2005),
"Dernier Combat, Le (Last Battle, The) (1983)",
Dersu Uzala (1975),
"Descendants, The (2011)",
Descent (2007),
"Descent, The (2005)",
Desert Hearts (1985),
Desierto (2016),
Designing Woman (1957),
Desk Set (1957),
Desperado (1995),
Desperate Living (1977),
Desperate Measures (1998),
Desperately Seeking Susan (1985),
Despicable Me (2010),5
Despicable Me 2 (2013),4.5
Despicable Me 3 (2017),
Despite the Falling Snow (2016),
Destiny Turns on the Radio (1995),
Destry Rides Again (1939),
Detachment (2011),
Detour (1945),
Detroit Rock City (1999),
Deuce Bigalow: European Gigolo (2005),
Deuce Bigalow: Male Gigolo (1999),
Deuces Wild (2002),
Devil (2010),
Devil Dog: The Hound of Hell (1978),
"Devil Wears Prada, The (2006)",
"Devil and Daniel Johnston, The (2005)",
"Devil and Max Devlin, The (1981)",
Devil in a Blue Dress (1995),
"Devil's Backbone, The (Espinazo del diablo, El) (2001)",
"Devil's Own, The (1997)",
Devil's Playground (2002),
"Devil's Rejects, The (2005)",
Devils on the Doorstep (Guizi lai le) (2000),
DiG! (2004),
Diabolique (1996),
Diabolique (Les diaboliques) (1955),
Dial M for Murder (1954),
"Diamond Arm, The (Brilliantovaya ruka) (1968)",
Diamonds Are Forever (1971),
"Diary of a Chambermaid (Journal d'une femme de chambre, Le) (1964)",
Diary of a Country Priest (Journal d'un curé de campagne) (1951),
Diary of a Wimpy Kid (2010),
Diary of a Wimpy Kid: Dog Days (2012),
Diary of a Wimpy Kid: Rodrick Rules (2011),
Diary of the Dead (2007),
Dick (1999),
Dick Tracy (1990),
Dickie Roberts: Former Child Star (2003),
"Dictator, The (2012)",
Did You Hear About the Morgans? (2009),
Die Another Day (2002),
Die Frauen von Ravensbrück (2005),
Die Hard (1988),
Die Hard 2 (1990),
Die Hard: With a Vengeance (1995),
Digging Up the Marrow (2014),
Digimon: The Movie (2000),
Dil To Pagal Hai (1997),
"Dilemma, The (2011)",
Diner (1982),
"Dinner Game, The (Dîner de cons, Le) (1998)",
Dinner Rush (2000),
Dinner at Eight (1933),
Dinner for Schmucks (2010),
Dinosaur (2000),
Dinotopia (2002),
Dirty 30 (2016),
Dirty Dancing (1987),
Dirty Dancing: Havana Nights (2004),
"Dirty Dozen, The (1967)",
Dirty Grandpa (2016),
Dirty Harry (1971),
Dirty Pretty Things (2002),
Dirty Rotten Scoundrels (1988),
Dirty Work (1998),
Disaster Movie (2008),
Disclosure (1994),
Disconnect (2012),
"Discreet Charm of the Bourgeoisie, The (Charme discret de la bourgeoisie, Le) (1972)",
Disgrace (2008),
"Dish, The (2001)",
Disorganized Crime (1989),
"Distinguished Gentleman, The (1992)",
District 13 (Banlieue 13) (2004),
District 13: Ultimatum (Banlieue 13 - Ultimatum) (2009),
District 9 (2009),
Disturbia (2007),
Disturbing Behavior (1998),
Diva (1981),
Divergent (2014),
Divided We Fall (Musíme si pomáhat) (2000),
Divine Secrets of the Ya-Ya Sisterhood (2002),
"Diving Bell and the Butterfly, The (Scaphandre et le papillon, Le) (2007)",
"Divo, Il (2008)",
Divorce - Italian Style (Divorzio all'italiana) (1961),
"Divorce, Le (2003)",
"Divorcee, The (1930)",
Django Unchained (2012),
"Do You Remember Dolly Bell? (Sjecas li se, Dolly Bell) (1981)",
Do the Right Thing (1989),
Dobermann (1997),
Doc Hollywood (1991),
Doctor Dolittle (1967),
Doctor Strange (2016),
Doctor Who: A Christmas Carol (2010),
Doctor Who: Last Christmas (2014),
Doctor Who: Planet of the Dead (2009),
"Doctor Who: The Doctor, the Widow and the Wardrobe (2011)",
Doctor Who: The Husbands of River Song (2015),
Doctor Who: The Next Doctor (2008),
Doctor Who: The Runaway Bride (2007),
Doctor Who: The Time of the Doctor (2013),
Doctor Who: The Waters of Mars (2009),
Doctor Who: Voyage Of The Damned (2007),
Doctor Zhivago (1965),
"Doctor, The (1991)",
Dodgeball: A True Underdog Story (2004),
Dog Day Afternoon (1975),
Dog Days (Hundstage) (2001),
Dog Park (1998),
Dog Soldiers (2002),
Dogfight (1991),
Dogma (1999),
Dogman (2018),
Dogtown and Z-Boyz (2001),
Dogville (2003),
"Dolce Vita, La (1960)",
Dolls (1987),
Dolls (2002),
Dolores Claiborne (1995),
Domestic Disturbance (2001),
Dominick and Eugene (1988),
Dominion: Prequel to the Exorcist (2005),
Domino (2005),
Don Camillo in Moscow (1965),
Don Jon (2013),
Don Juan DeMarco (1995),
Don't Be Afraid of the Dark (2010),
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),
Don't Breathe (2016),
Don't Look Now (1973),
Don't Look Now: We're Being Shot At (La grande vadrouille) (1966),
Don't Move (Non ti muovere) (2004),
Don't Say a Word (2001),
Don't Tell Mom the Babysitter's Dead (1991),
Donnie Brasco (1997),
Donnie Darko (2001),
Doom (2005),
"Doom Generation, The (1995)",
Doomsday (2008),
"Door in the Floor, The (2004)",
"Doors, The (1991)",
Dope (2015),
Dorian Gray (2009),
Double Dragon (1994),
Double Happiness (1994),
Double Impact (1991),
Double Indemnity (1944),
Double Jeopardy (1999),
"Double Life of Veronique, The (Double Vie de Véronique, La) (1991)",
"Double Life, A (1947)",
Double Take (2001),
Double Team (1997),
Double Trouble (1992),
"Double, The (2011)",
"Double, The (2013)",
Doubt (2008),
Doug's 1st Movie (1999),
Down Argentine Way (1940),
Down Periscope (1996),
Down Terrace (2009),
Down and Out in Beverly Hills (1986),
Down by Law (1986),
Down in the Valley (2005),
Down to Earth (2001),
Down to You (2000),
Down to the Bone (2004),
Down with Love (2003),
"Downfall (Untergang, Der) (2004)",
Dr. Dolittle (1998),4
Dr. Dolittle 2 (2001),
Dr. Giggles (1992),
Dr. Goldfoot and the Bikini Machine (1965),
Dr. Horrible's Sing-Along Blog (2008),
Dr. Jekyll and Mr. Hyde (1931),
Dr. Jekyll and Mr. Hyde (1941),
Dr. No (1962),
Dr. Phibes Rises Again (1972),
Dr. Seuss' The Lorax (2012),
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),
Dr. T and the Women (2000),
Dr. Terror's House of Horrors (1965),
Dracula (1931),
Dracula (1979),
Dracula (Bram Stoker's Dracula) (1992),2
Dracula 2000 (2000),
Dracula Untold (2014),
Dracula: Dead and Loving It (1995),
Drag Me to Hell (2009),
Dragnet (1987),
Dragon Ball GT: A Hero's Legacy (Doragon bôru GT: Gokû gaiden! Yûki no akashi wa sû-shin-chû) (1997),
Dragon Ball Z Gaiden: The Plot to Destroy the Saiyans (1993),
Dragon Ball Z the Movie: The Tree of Might (Doragon bôru Z 3: Chikyû marugoto chô kessen) (1990),
Dragon Ball Z the Movie: The World's Strongest (a.k.a. Dragon Ball Z: The Strongest Guy in The World) (Doragon bôru Z: Kono yo de ichiban tsuyoi yatsu) (1990),
Dragon Ball Z: Bardock - The Father of Goku (Doragon bôru Z: Tatta hitori no saishuu kessen - Furiiza ni itonda Z senshi Kakarotto no chichi) (1990),
Dragon Ball Z: Battle of Gods (2013),
Dragon Ball Z: Bio-Broly (Doragon bôru Z 11: Sûpâ senshi gekiha! Katsu no wa ore da) (1994),
Dragon Ball Z: Bojack Unbound (Doragon bôru Z 9: Ginga girigiri!! Butchigiri no sugoi yatsu) (1993),
Dragon Ball Z: Broly - The Legendary Super Saiyan (Doragon bôru Z 8: Moetsukiro!! Nessen retsusen-chô gekisen) (1993),
Dragon Ball Z: Broly Second Coming (Doragon bôru Z 10: Kiken na futari! Sûpâ senshi wa nemurenai) (1994),
Dragon Ball Z: Cooler's Revenge (Doragon bôru Z 5: Tobikkiri no saikyô tai saikyô) (1991),
Dragon Ball Z: Dead Zone (Doragon bôru Z 1: Ora no Gohan wo kaese) (1989),
Dragon Ball Z: Resurrection of F (2015),
Dragon Ball Z: Super Android 13! (Doragon bôru Z 7: Kyokugen batoru!! San dai sûpâ saiyajin) (1992),
Dragon Ball Z: The History of Trunks (Doragon bôru Z: Zetsubô e no hankô!! Nokosareta chô senshi - Gohan to Torankusu) (1993),
Dragon Ball Z: The Return of Cooler (Doragon bôru Z 6: Gekitotsu! Hyakuoku pawâ no senshi) (1992),
Dragon Ball: Mystical Adventure (Doragon bôru: Makafushigi dai bôken) (1988),
Dragon Ball: Sleeping Princess in Devil's Castle (Doragon bôru: Majinjô no nemuri hime) (1987),
Dragon Ball: The Curse Of The Blood Rubies (Doragon bôru: Shenron no densetsu) (1986),
Dragon Ball: The Path to Power (Doragon bôru: Saikyô e no michi) (1996),
Dragon Blade (2015),
Dragon Lord (a.k.a. Dragon Strike) (Long Xiao Ye) (1982),
Dragon Seed (1944),
Dragon ball Z 04: Lord Slug (1991),
Dragon: The Bruce Lee Story (1993),
Dragonfly (2002),
Dragonheart (1996),4.5
Dragonheart 2: A New Beginning (2000),
Dragonheart 3: The Sorcerer's Curse (2015),
Dragons: Gift of the Night Fury (2011),
Dragonslayer (1981),
Drained (O cheiro do Ralo) (2006),
"Draughtsman's Contract, The (1982)",
"Dream Team, The (1989)",
Dream a Little Dream (1989),
Dream for an Insomniac (1996),
"Dream of Light (a.k.a. Quince Tree Sun, The) (Sol del membrillo, El) (1992)",
Dreamcatcher (2003),
Dreamer: Inspired by a True Story (2005),
"Dreamers, The (2003)",
Dreamgirls (2006),
"Dreamlife of Angels, The (Vie rêvée des anges, La) (1998)",
Dreamscape (1984),
Dredd (2012),
Dressed to Kill (1980),
"Dresser, The (1983)",
Drift (2013),
Drillbit Taylor (2008),
Drinking Buddies (2013),
Drive (2011),
Drive Angry (2011),
Drive Hard (2014),
Drive Me Crazy (1999),
Driven (2001),
Driving Miss Daisy (1989),
Drop Dead Fred (1991),
Drop Dead Gorgeous (1999),
Drop Zone (1994),
Drowning Mona (2000),
Drowning by Numbers (1988),
Drugstore Cowboy (1989),
Drumline (2002),
Drunken Master (Jui kuen) (1978),
Drunks (1995),
"Duchess, The (2008)",
Duck Amuck (1953),
Duck Soup (1933),
"Duck, You Sucker (1971)",
"Dude, Where's My Car? (2000)",
Dudley Do-Right (1999),
Due Date (2010),
Duel (1971),
Duel in the Sun (1946),
"Duellists, The (1977)",
Duets (2000),
"Dukes of Hazzard, The (2005)",
Duma (2005),
Dumb & Dumber (Dumb and Dumber) (1994),4
Dumb and Dumber To (2014),
Dumb and Dumberer: When Harry Met Lloyd (2003),
Dumbo (1941),5
Dummy (2002),
Dune (1984),
Dune (2000),
Dungeons & Dragons (2000),
Dunkirk (2017),
Dunston Checks In (1996),
Duplex (2003),
Duplicity (2009),
Dust (2001),
Dutch (1991),
Dying Young (1991),
Dying of the Light (2014),
Dylan Moran: Monster (2004),
Déjà Vu (1997),
Déjà Vu (Deja Vu) (2006),
E.T. the Extra-Terrestrial (1982),
EDtv (1999),
Eagle Eye (2008),
"Eagle Has Landed, The (1976)",
"Eagle, The (2011)",
"Ear, The (Ucho) (1970)",
Earth (2007),
Earth Girls Are Easy (1988),
Earth vs. the Flying Saucers (1956),
Earthlings (2006),
Earthquake (1974),
Earthsea (Legend of Earthsea) (2004),
East is East (1999),
East of Eden (1955),
East-West (Est-ouest) (1999),
Easter Parade (1948),
Eastern Promises (2007),
Easy A (2010),
Easy Money (1983),
Easy Rider (1969),
Eat Drink Man Woman (Yin shi nan nu) (1994),
Eat Pray Love (2010),
Eaten Alive (1977),
Echelon Conspiracy (2009),
Ed (1996),
Ed Wood (1994),
Eddie (1996),
Eddie Izzard: Dress to Kill (1999),
Eddie Izzard: Glorious (1997),
Eddie Murphy Delirious (1983),
Eddie Murphy Raw (1987),
Eddie and the Cruisers (1983),
Eddie the Eagle (2016),
Eden (2014),
Eden Lake (2008),
"Edge of Heaven, The (Auf der anderen Seite) (2007)",
"Edge of Love, The (2008)",
Edge of Tomorrow (2014),
"Edge, The (1997)",
Edmond (2005),
Educating Rita (1983),
"Education, An (2009)",
"Edukators, The (Die Fetten Jahre sind vorbei) (2004)",
Edward Scissorhands (1990),
Eichmann (2007),
Eight Below (2006),
Eight Crazy Nights (Adam Sandler's Eight Crazy Nights) (2002),
Eight Legged Freaks (2002),
Eight Men Out (1988),
"Eighth Day, The (Huitième jour, Le) (1996)",
Einstein and Eddington (2008),
El Cid (1961),
Election (1999),
Elections Day (2007),
Electra Glide in Blue (1973),
Electroma (2006),
Elektra (2005),
Elektra Luxx (2010),
"Element of Crime, The (Forbrydelsens Element) (1984)",
Elephant (2003),
"Elephant Man, The (1980)",
Elevator to the Gallows (a.k.a. Frantic) (Ascenseur pour l'échafaud) (1958),
Elf (2003),
Elite Squad (Tropa de Elite) (2007),
Elite Squad: The Enemy Within (Tropa de Elite 2 - O Inimigo Agora É Outro) (2010),
Elizabeth (1998),
Elizabeth: The Golden Age (2007),
Elizabethtown (2005),
Ella Enchanted (2004),
Elle (2016),
Elling (2001),
Elmer Gantry (1960),
Elsa & Fred (2005),
